CandidateName,OfficeName,ElectionYear,ElectionYearStr,Party,District,Jurisdiction,FinanceType,Status,Incumbent,IDNumber,TreasurerName,CandidateAddress,RegistrationDate,LastFilingDate,PublicPhoneNumber,PoliticalPartyCommitteeName,CandidateStatus,JurisdictionType,OfficerHolderStatus,ElectionName,NumberofCandidates,OfficeId,ElectionId,DistrictId,ElectionCycleId,OfficeType,JurisdictionId,RegistrationId,FinanceStatus,RowNumber,TotalRows,UnregisteredCandidate,StateID,TotalContributions,TotalExpenditures,MemberID,TerminationDate,CandidateEmail,CommitteeEmail,IsCompliant,CompliantStatus,IsLegacy
"JESSEN, ELLEN RATTIGAN",District Court Judge,2022,,REPUBLICAN,TWELFTH JUDICIAL DISTRICT DIVISION 2,Otero,Candidate,,,RjzP1q-A8-oVbQgLCL8B7wCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1354,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"WOODS, ROSCOE AUGUSTUS",District Court Judge,2022,,DEMOCRATIC,SEVENTH JUDICIAL DISTRICT DIVISION 2,Sierra,Candidate,,,QisrSTmis3RIta26etMJKwCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1355,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Jaramillo, Cristina ",District Court Judge,2022,,REPUBLICAN,SECOND JUDICIAL DISTRICT DIVISION 29,Bernalillo,Candidate,,,6QeRhidVHMEQBsBBB73zbQCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1357,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Benavidez, Edward L",District Court Judge,2022,,DEMOCRATIC,SECOND JUDICIAL DISTRICT DIVISION 10,Bernalillo,Candidate,,,Srn-FN--eEiySnf6ri6qqgCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1358,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Fox, Bruce C.",District Court Judge,2021,,DEMOCRATIC,SECOND JUDICIAL DISTRICT DIVISION 10,Bernalillo,Candidate,,,R9k8KuF0-tzKCgkA7y-wagCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1358,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Garcia Roberson, Alma C.",District Court Judge,2021,,DEMOCRATIC,SECOND JUDICIAL DISTRICT DIVISION 7,Bernalillo,Candidate,,,pdaF2a2xn8aTjqYrusY77ACqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1376,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Begaye, Catherine A.",District Court Judge,2021,,DEMOCRATIC,SECOND JUDICIAL DISTRICT DIVISION 8,Bernalillo,Candidate,,,ww56K-qWgomqpcZL0_JPWQCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1377,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Rudolfo, Emeterio Leroy",District Court Judge,2022,,DEMOCRATIC,SECOND JUDICIAL DISTRICT DIVISION 16,Bernalillo,Candidate,,,2e7AUfAy3ePu_wCbpEx8ogCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1378,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Wernersbach, Jennifer J.",District Court Judge,2022,,DEMOCRATIC,SECOND JUDICIAL DISTRICT DIVISION 16,Bernalillo,Candidate,,,MLkdjKTMX2gDspI1KWpdfACqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1378,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Montano, Joseph Anthony",District Court Judge,2022,,DEMOCRATIC,SECOND JUDICIAL DISTRICT DIVISION 26,Bernalillo,Candidate,,,3e3D-Eki4YCjlK-n2LI-wACqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1379,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Lewis, AnneMarie Cheroke",District Court Judge,2022,,REPUBLICAN,,,Candidate,,,ZwbEyZWguXJwNbnJHSMYvwCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,1073,119.0,1482,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Murphy, David A.",District Court Judge,2022,,DEMOCRATIC,SECOND JUDICIAL DISTRICT DIVISION 30,Bernalillo,Candidate,,,Gx5nTfmL6TBJyaVFGL80rQCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1484,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Martinez, Allison ",District Court Judge,2022,,REPUBLICAN,THIRTEENTH JUDICIAL DISTRICT DIVISION 9,Sandoval,Candidate,,,nd7262p1Sl3QbdRqgi9c4wCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1490,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Reifsteck, Karl William",District Court Judge,2022,,DEMOCRATIC,THIRTEENTH JUDICIAL DISTRICT DIVISION 9,Sandoval,Candidate,,,-v0dMXMxsg1-vayz4iBoOwCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1490,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Gallegos, Floripa ""Flora""",District Court Judge,2022,,DEMOCRATIC,FOURTH JUDICIAL DISTRICT  DIVISION 3,San Miguel,Candidate,,,yW59OCU7H9iWB5KqJIUJqQCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,552,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Riordan, Eileen P",District Court Judge,2022,,DEMOCRATIC,FIFTH JUDICIAL DISTRICT DIVISION 1,Chaves,Candidate,,,vpnie-Tsy2MXUcC1LytcRwCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,555,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Finger, David Elliot",District Court Judge,2022,,REPUBLICAN,FIFTH JUDICIAL DISTRICT DIVISION 1,Lea,Candidate,,,vkKhSRfjqyxcMB-CqW-nIwCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,556,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"BURNS, SHAUN",District Court Judge,2022,,REPUBLICAN,NINTH JUDICIAL DISTRICT  DIVISION 1,Curry,Candidate,,,QjpWnyDwXaj4KWGlr91yqwCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,590,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Cross, Benjamin Scott",District Court Judge,2022,,REPUBLICAN,NINTH JUDICIAL DISTRICT  DIVISION 1,Curry,Candidate,,,4Wl9jKv55T954NkUSGU7WgCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,590,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Bregman, Sam",District Attorney,2023,,DEMOCRATIC,2ND JUDICIAL DISTRICT,Bernalillo,Candidate,,,sXtBe55vfGx9TcEmv70wlACqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT ATTORNEY,,2024 General Election,,1074,120.0,619,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
"Martinez, Damon",District Attorney,2023,,DEMOCRATIC,2ND JUDICIAL DISTRICT,Bernalillo,Candidate,,,ZgPHKf7ldwJ-E9k4CL5trQCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT ATTORNEY,,2024 General Election,,1074,120.0,619,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
"Swonger, Matthias ",District Attorney,2023,,DEMOCRATIC,2ND JUDICIAL DISTRICT,Bernalillo,Candidate,,,IDfLB7DXmFSnmXdVIhlH1wCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT ATTORNEY,,2024 General Election,,1074,120.0,619,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
"Booth, Shaharazad",District Attorney,2023,,DEMOCRATIC,3RD JUDICIAL DISTRICT,Dona Ana,Candidate,,,32ULaY_2fGAfGJjTO4BzvwCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT ATTORNEY,,2024 General Election,,1074,120.0,620,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Martinez, Ramona J",District Attorney,2023,,DEMOCRATIC,3RD JUDICIAL DISTRICT,Dona Ana,Candidate,,,JkfxHsQ81vR-QKKW8tnPRgCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT ATTORNEY,,2024 General Election,,1074,120.0,620,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Wheeler, Norman",District Attorney,2023,,REPUBLICAN,6TH JUDICIAL DISTRICT,Grant,Candidate,,,wfiPSLtfl9j8KOfY7NiBvACqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT ATTORNEY,,2024 General Election,,1074,120.0,627,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Johnson, Barbara V",Judge of the Court of Appeals Position 1,2022,,REPUBLICAN,,,Candidate,,,96ZF0QUucw1VLPist1HNhwCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,1099,119.0,,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Byrd, Jefferson",Commissioner of Public Lands,2022,,REPUBLICAN,,,Candidate,,,KC8bbwenTbuHIEHq8vJhRgCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,11,119.0,,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Dunn, Aubrey ",Commissioner of Public Lands,2014,,REPUBLICAN,,,Candidate,,,kwxqlXtGBAAGOpdodsvHzQCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,11,119.0,,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Garcia Richard, Stephanie ",Commissioner of Public Lands,2022,,DEMOCRATIC,,,Candidate,,,o8g0UguGztRJ4V2ez9ofWgCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,11,119.0,,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Marker, Larry E",Commissioner of Public Lands,2022,,NO PARTY/INDEPENDENT/DECLINED TO SELECT,,,Candidate,,,OR7322oUFa7c9hZReKyeMgCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,11,119.0,,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"LEE, GERTRUDE",Judge of the Court of Appeals Position 2,2022,,REPUBLICAN,,,Candidate,,,du8yMn1dbKqzEGh8Wwj9JQCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,1100,119.0,,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Wray, Katherine Anne",Judge of the Court of Appeals Position 2,2021,,DEMOCRATIC,,,Candidate,,,UdVtZovjEWRdphV6FQGdbACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,1100,119.0,,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Morris, Kerry J",Justice of the Supreme Court Position 2,2022,,REPUBLICAN,,,Candidate,,,eH4oCcd4unEtDuixXz0FQACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,1188,119.0,,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Zamora, Briana ",Justice of the Supreme Court Position 2,2022,,DEMOCRATIC,,,Candidate,,,LAt6BJWsla5yTyEbjyAXQgCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,1188,119.0,,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Cordova, Yolanda M",School Board Member,2019,,NO PARTY/INDEPENDENT/DECLINED TO SELECT,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 1,Bernalillo,Candidate,,,qz0TSMxIVRyW6PsfBChvXgCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1213,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Astorga, Janelle",School Board Member,2023,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 1,Bernalillo,Candidate,,,yrJOouv3_80NKeR_FWslwwCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1213,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Coker, Verland Ober",School Board Member,2023,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 1,Bernalillo,Candidate,,,2xy9_SlMbEz4smUE6mldDwCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1213,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Cordova, Yolanda M",School Board Member,2023,,NO PARTY/INDEPENDENT/DECLINED TO SELECT,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 1,Bernalillo,Candidate,,,qz0TSMxIVRyW6PsfBChvXgCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1213,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Trujillo, Robert ",School Board Member,2023,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 1,Bernalillo,Candidate,,,DQEbwV0PGpsJ-c8JGR9d2gCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1213,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Chavez, James A",School Board Member,2019,,DEMOCRATIC,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 2,Bernalillo,Candidate,,,tuhj32zokp_WLPnqYCyltACqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1214,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Harris, Lauretta ",School Board Member,2019,,DEMOCRATIC,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 2,Bernalillo,Candidate,,,de2zquObjpTcK7pcoiPcggCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1214,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Korte , Kathy ",School Board Member,2015,,NO PARTY/INDEPENDENT/DECLINED TO SELECT,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 2,Bernalillo,Candidate,,,exKp7dDLYkW454-Bbbmr_QCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1214,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Muller-Aragon, Peggy L.",School Board Member,2019,,NO PARTY/INDEPENDENT/DECLINED TO SELECT,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 2,Bernalillo,Candidate,,,h9wOo3E2sl7D7muCuiEp8wCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1214,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Chavez, James A",School Board Member,2023,,DEMOCRATIC,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 2,Bernalillo,Candidate,,,tuhj32zokp_WLPnqYCyltACqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1214,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Muller-Aragon, Peggy",School Board Member,2023,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 2,Bernalillo,Candidate,,,FjEILU_LBSj5zka1tJ4c3wCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1214,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Nogales, Adrian Robert",School Board Member,2023,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 2,Bernalillo,Candidate,,,-weo280SuiSHu4rC3uNjrgCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1214,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Tome-Warito, Ronalda Kaye",School Board Member,2023,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 2,Bernalillo,Candidate,,,QjMEODz6n31f_ooON-jI6QCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1214,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Coker, Verland ",School Board Member,2019,,NO PARTY/INDEPENDENT/DECLINED TO SELECT,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 4,Bernalillo,Candidate,,,d9rryJqW76yRgI8XXENCrwCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1215,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Petersen, Barbara E.",School Board Member,2019,,NO PARTY/INDEPENDENT/DECLINED TO SELECT,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 4,Bernalillo,Candidate,,,ORgUPL5PyHjChR70slBqjACqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1215,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Benavidez, Heather",School Board Member,2023,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 4,Bernalillo,Candidate,,,cntlGWbErZlbijPw6y8xzACqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1215,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
"Cecco, Stephen Joseph",School Board Member,2023,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 4,Bernalillo,Candidate,,,n1z5moYTAltVfhOiUwLEYQCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1215,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
"Petersen, Barbara E.",School Board Member,2023,,NO PARTY/INDEPENDENT/DECLINED TO SELECT,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 4,Bernalillo,Candidate,,,ORgUPL5PyHjChR70slBqjACqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1215,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
"Baca , Nancy  A",School Board Member,2017,,CONSTITUTION,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 5,Bernalillo,Candidate,,,o3bhbf0Qqaivht9Pd6-kyQCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1216,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Jones, Emma",School Board Member,2021,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 5,Bernalillo,Candidate,,,-X5G3nGnwjM21FghmotYZgCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1216,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Ohiri, Uche Maria",School Board Member,2021,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 5,Bernalillo,Candidate,,,AS1U66IkZ04gl3KedmVxtQCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1216,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Tapia-Romero, Crystal ",School Board Member,2021,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 5,Bernalillo,Candidate,,,IrPi-7zPx5Vsfg9lIlRJ1QCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1216,,,,0,,,4,0,,0.0,0.0,0,,,,False,,False
"Jones, Emma",School Board Member,2023,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 5,Bernalillo,Candidate,,,-X5G3nGnwjM21FghmotYZgCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1216,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
"Ohiri, Uche Maria",School Board Member,2023,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 5,Bernalillo,Candidate,,,AS1U66IkZ04gl3KedmVxtQCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1216,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
"Tapia-Romero, Crystal ",School Board Member,2023,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 5,Bernalillo,Candidate,,,IrPi-7zPx5Vsfg9lIlRJ1QCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2023 - Regular Local Election,,1189,121.0,1216,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
"carrasco, arthur",School Board Member,2021,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 6,Bernalillo,Candidate,,,l7tLsmLBO5A9wOGpadNA8wCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1217,,,,0,,,5,0,,0.0,0.0,0,,,,False,,False
"Cortez, Celia",School Board Member,2021,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 6,Bernalillo,Candidate,,,8Jy_Z-N87LXiYVKQT_K-dQCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1217,,,,0,,,5,0,,0.0,0.0,0,,,,False,,False
"Dominguez, Josefina Elizabet",School Board Member,2021,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 6,Bernalillo,Candidate,,,86bXFzenJC2oA5VVdKFS4gCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1217,,,,0,,,5,0,,0.0,0.0,0,,,,False,,False
"Franco, Crystal",School Board Member,2021,,Non-Partisan,ALBUQUERQUE MUNICIPAL SCHOOL DISTRICT - DISTRICT 6,Bernalillo,Candidate,,,b_vqmqjFNoTmywGf9b2W5gCqVy8Elhffgng_L-1Fpe41,,,,,,,,SCHOOL BOARD,,2021 - Regular Local Election,,1189,118.0,1217,,,,0,,,5,0,,0.0,0.0,0,,,,False,,False
