"PoliticalActionCommitteeId","EntityId","Name","Acronym","BusinessPhone","HomePhone","EmailAddress","AddressId","TreasurerId","DateAdded","StatusId","ContactId","DateLastUpdated","BankName","BankPhone","FaxPhone","BankAddressId","InitialBalance","IsInitialbalanceSetByPAC","InitialDebt","IsInitialDebtSetByPac"
50,133,"NM Restaurant Association","NMRA PAC","(505) 343-9848","","accounting@nmrestaurants.org",2012,174,1/1/2010 0:00:00,1,1583,,"Main Bank","(505) 880-1700","",17376,$0.00,0,,
51,134,"ICBA/NM PAC","","505-327-2151","","info@icbanm.org",1901,123,1/1/2010 0:00:00,0,1532,,"First National Bank of New Mexico","505-374-8315","",24937,$32089.53,1,,
52,135,"Rio Grande Chapter of the Sierra Club",,"(505) 259-7190",,"bblairb2@aol.com",1904,126,1/1/2010 0:00:00,0,1535,10/10/2008 15:53:58,"Century Bank","(505) 424-2860",,,,,,
53,138,"New Mexico Hospitality Retailers Assoc.","","(575) 445-3619","","mantzcpa@bacavalley.com",1902,124,1/1/2010 0:00:00,2,1533,,"First Community Bank","505-293-4800","",24821,$0.00,0,,
54,139,"New Mexico Democratic Legislative Campaign Committee",,"(505) 934-5681","","caroline_buerkle_2000@yahoo.com",2077,244,1/1/2010 0:00:00,2,1653,,"United Labor Bank","(505) 341-5221",,26407,,,,
55,140,"Republican Party of Bernalillo County","","(505) 265-0981","","jkubiak@kubiakcpa.com",2184,367,1/1/2010 0:00:00,1,1776,,"Bank of Albuquerque","(505) 855-0855","",26830,$0.00,0,,
56,141,"Otero County Republican Party",,"(505) 443-1195",,"catheprather@earthlink.net",1925,142,1/1/2010 0:00:00,2,1551,5/14/2007 10:01:36,"WELLS FARGO BANK","505-434-8000",,,,,,
57,142,"Ross, Peter A",,"(505) 841-7032",,"peteross52@aol.com",1905,127,1/1/2010 0:00:00,0,1536,,"","",,,,,,
58,153,"ACLI New Mexico Non-Federal Pac","","202 624 2000","","pac@acli.com",1915,128,1/1/2010 0:00:00,1,1537,,"Bank of Albuquerque"," (505) 855-0855","",15971,$0.00,0,,
59,255,"Rio Grande Chapter of Sierra Club PAC","","(505) 243-7767","(505) 984-1330","riogrande.chapter@sierraclub.org",2167,368,1/1/2010 0:00:00,1,1777,,"Nusenda Credit Union","505) 467-6000","",51217,$0.00,0,,
60,143,"El Paso Electric Company Employee PAC","EPECE-PAC","(915) 543-2055","","PAC_Leadership@epelectric.com",2120,245,1/1/2010 0:00:00,1,1654,,"Wells Fargo Bank","(800) 225-5935","(915)521-4751",40534,$0.00,0,,
61,144,"MCI Western States PAC",,"(303) 390-6315",,"michael.rivera@mci.com",1908,129,1/1/2010 0:00:00,2,1538,10/7/2006 10:51:07,"Wells Fargo Bank New Mexico","(800)359-3557",,,,,,
62,145,"New Mexico Jobe PAC",,"(915) 298-9900",,"mmason@jobeconcrete.com",1954,175,1/1/2010 0:00:00,2,1584,10/7/2006 10:51:07,"State National Bank","(505) 523-5920",,,,,,
63,146,"Democratic Legislative Campaign Committee",,"(202) 449-6743",,"dlcc@dlcc.org",2023,246,1/1/2010 0:00:00,2,1655,12/6/2006 13:53:33,"Bank of America","888-852-5000",,,,,,
64,147,"New Mexico Federation of Republican Women PAC","","5753175640","","margaret.kennard@aol.com",2116,247,1/1/2010 0:00:00,1,1656,,"Wells Fargo","5756223494","",26448,$0.00,0,,
65,148,"Justice for America","","(505) 243-0503","","patriciamadrid100@yahoo.com",1906,130,1/1/2010 0:00:00,1,1539,,"Bank of the West","800-488-2265","",13272,$0.00,0,,
66,149,"New Mexico Psychological Assoc PAC",,"(505) 883-7376",,"newmexpa@aol.com",1907,131,1/1/2010 0:00:00,2,1540,10/7/2006 10:51:07,"Wells Fargo Bank","800-225-5935",,,,,,
67,150,"Green party of Santa Fe",,"(505) 660 8835",,"shawn@ic.org",1918,132,1/1/2010 0:00:00,2,1541,10/31/2006 11:39:25,"Del Norte Credit Union","",,,,,,
68,151,"House Majority Leader Fund",,"(505) 268-8211",,"triw@aol.com",1909,133,1/1/2010 0:00:00,0,1542,2/23/2007 16:05:06,"Bank of the West","(505) 286-4041",,,,,,
69,154,"EMILY's List - NM","","202-326-1400","","cfines@emilyslist.org",1910,134,1/1/2010 0:00:00,2,1543,,"Bank of America","1-888-287-4637","",26047,$274.35,0,,
70,155,"New Mexico Medical Political Action Committee","NEMPAC","(505) 828-0237","","rmarshall@nmms.org",1913,135,1/1/2010 0:00:00,1,1544,,"Bank of the West","5052558452","",15490,$0.00,0,,
71,156,"Greater Albuquerque Medical Assoc. PAC","","(505) 821-4583","","sylvia.lyon@gamamed.org",1911,136,1/1/2010 0:00:00,1,1545,,"First Citizens Bank","(505) 342-9980","",31877,$0.00,0,,
72,157,"Quay County Democratic Party","","575-403-7255","","tracylynn68@hotmail.com",2169,369,1/1/2010 0:00:00,1,1778,,"Wells Fargo","575-461-3602","",15944,$0.00,0,,
73,256,"NEW MEXICO MACHINERY, LLC",,"(575) 622-8042",,"ROBINCOX@NMMACHINERY.COM",1912,137,1/1/2010 0:00:00,2,1546,11/2/2006 14:45:58,"","",,,,,,
74,257,"SeedPAC",,"505-224-9774",,,1994,176,1/1/2010 0:00:00,0,1585,10/7/2006 10:51:07,"NM Educators Federal Credit Union",,,,,,,
75,158,"Go Bonds For Education","","505-681-6281","505-922-9420","paula_pruitt@netzero.net",2092,248,1/1/2010 0:00:00,1,1657,,"Bank of America","5057654800","",17545,$0.00,0,,
76,159,"Pinnacle West Political Action Committee","","(480) 491-6300","","caryn@chstax.com",2151,370,1/1/2010 0:00:00,2,1779,,"Wells Fargo Bank New Mexico, NA","800-225-5935","(480) 491-6350",19468,$0.00,0,,
77,160,"New Mexicans for Honest Courts",,"575 622-5065","","betty.patton@roswell.enmu.edu",1917,138,1/1/2010 0:00:00,2,1547,,"Pioneer Bank","575 624-5200",,18706,,,,
78,185,"Republican Women's Club of Carlsbad","","575-885-2542","575-885-2542","mbfritschy@bajabb.com",2100,249,1/1/2010 0:00:00,1,1658,,"Western Commerce Bank","575-887-6686","",30262,$0.00,0,,
79,161,"Espinoza, Valerie",,"(505) 470-8223",,"johnh@DOH.STATE.NM.US",1914,139,1/1/2010 0:00:00,0,1548,10/7/2006 10:51:07,"Zia Credit Union","(505) 662-4671",,,,,,
80,162,"Las Adelitas:  Women in Politics","","(505) 268-2439","","terribk7@aol.com",2183,371,1/1/2010 0:00:00,2,1780,,"Bank Of America, NA","(505) 282-2531","",24664,$288.59,1,,
81,163,"Conservation Voters NM Action Fund",,"(505) 992-8683",,"cristina@cvnm.org",1916,140,1/1/2010 0:00:00,0,1549,10/21/2008 8:17:35,"","",,,,,,
82,258,"Metro Federated Republican Women","MFRW","505-890-2979","","lindaolean@yahoo.com",2173,372,1/1/2010 0:00:00,2,1781,,"Wells Fargo","505-766-6139","",79218,$0.00,0,,
83,164,"Equality Pac","","5054713563","","k2z101bizness@msn.com",1946,143,1/1/2010 0:00:00,2,1552,,"Community Bank, Santa Fe","(505) 946-3500","",13758,$0.00,0,,
84,165,"Save Our Streets",,"(505) 898-8103",,"vrna1@aol.com",1921,144,1/1/2010 0:00:00,0,1553,10/7/2006 10:51:07,"First State Bank","505-241-7500",,,,,,
85,166,"New Mexico Land Title Association Political Action Committee","NMLTAPAC","(505) 999-5804","","patty@nmlta.org",2108,250,1/1/2010 0:00:00,1,1659,,"Bank of Albuquerque","(505) 855-0855","",25319,$0.00,0,,
86,167,"No Street Bonds Measure Finance Committee",,"(505) 848-8232",,,1929,145,1/1/2010 0:00:00,2,1554,10/7/2006 10:51:07,"Bank of Albuquerque","(505) 855-0855",,,,,,
87,168,"Select Milk Southwest PAC",,"(505) 746-6698",,"bbeacham@akingump.com",1920,146,1/1/2010 0:00:00,0,1555,10/7/2006 10:51:07,"First National Bank of Artesia",,,,,,,
88,259,"Gay and Lesbian Victory Fund",,"(202) 842-8679","","government.reporting@victoryfund.org",2072,251,1/1/2010 0:00:00,2,1660,,"Bank of America","(505) 282-2450",,17271,,,,
89,260,"Non Partisan Committee for Judicial Integrity","","(505) 243-6003","","peter@nmtla.org",2009,177,1/1/2010 0:00:00,2,1586,,"Bank of the West-Grand Avenue","(505) 842-9385","(505 243-6099",17368,$0.00,0,,
90,261,"Democratic Party of Chaves County","DPCC","(575) 622-4062","575-626-2533","paulwromero@gmail.com",1922,147,1/1/2010 0:00:00,1,1556,,"Pioneer Bank","(575) 624-5200","",29855,$0.00,0,,
91,169,"PNM Responsible Citizens Group","","(505) 241-2247","","Debbie.Conger@pnmresources.com",1930,148,1/1/2010 0:00:00,1,1557,,"BBVA","(505) 888-9115","",16235,$0.00,0,,
92,186,"Lea County Democratic Building Fund",,"(505)393-1336",,,1979,178,1/1/2010 0:00:00,2,1587,10/9/2006 14:20:50,"1st. National Bank of Hobbs","(505)392-9200",,,,,,
93,187,"Albuquerque Teachers Federation","","(505) 262-2657","","atf@atfunion.org",2177,373,1/1/2010 0:00:00,1,1782,,"New Mexico Educators Federal Credit Union","(505)889-7755","",21985,$0.00,0,,
94,170,"Homesteaders Republican Women",,"(505) 774-9106",,"cnielson@iname.com",1923,149,1/1/2010 0:00:00,2,1558,10/7/2006 10:51:07,"Cuba Credit Union","(505) 289-3763",,,,,,
95,171,"Los Alamos Republican Women",,"5056902309","5056902309","cathwalter@aol.com",1924,150,1/1/2010 0:00:00,1,1559,,"Los Alamos National Bank","(505) 662-5171",,18684,,,,
96,172,"New Mexico Association of Nurse Anesthetists ",,"512-415-9339","","swklucia@aol.com",1928,151,1/1/2010 0:00:00,1,1560,,"Bank of Albuquerque","(505) 855-0855",,49534,,,,
97,173,"Federated Republican Women of Lincoln County","FRWLC-PAC","575-808-0115","","CENGLANDBLACK@GMAIL.COM",2018,252,1/1/2010 0:00:00,1,1661,,"City Bank","575 258-2265","",30801,$4403.70,0,,
98,174,"Alicia Lopez","DPLC","5759379808","575-336-2784","alicialopez@yahoo.com",1926,152,1/1/2010 0:00:00,1,1561,,"City Bank","(575) 257-2265","",28501,$0.00,0,,
99,175,"The Young Democrats of New Mexico",,"(505) 989-5002",,"fistoa@aol.com",2021,253,1/1/2010 0:00:00,0,1662,10/31/2006 11:45:57,"Guadalupe Credit Union","(505) 982-8942",,,,,,
100,176,"Baca, Amos ",,"(505) 827-3895",,"amos.baca@state.nm.us",1927,153,1/1/2010 0:00:00,0,1562,11/2/2006 9:27:19,"","",,,,,,
101,262,"Democratic Party of Socorro County",,"5758350488","5758386258","dfarris.socorrodems@gmail.com",2069,254,1/1/2010 0:00:00,1,1663,,"Wells Fargo","(575) 835-2410",,45454,,,,
102,177,"Democratic Women of Chaves County","DWCC","(575) 622-7224","","best9@cableone.net",2024,255,1/1/2010 0:00:00,2,1664,,"Pioneer Bank","575-624-5200","575-622-7019",29689,$0.00,0,,
103,178,"Four Corners Federated Republican Women","","(505) 486-9477","","krista@jledco.com",1951,154,1/1/2010 0:00:00,1,1563,,"Citizens Bank","(505) 599-0100","",15735,$0.00,0,,
104,179,"NM broadcasters assoc",,"(505) 881-4444",,"paulamaes@nmba.org",1932,155,1/1/2010 0:00:00,2,1564,10/7/2006 10:51:07,"Bank of America","505-282-3030",,,,,,
105,263,"UNITED STEELWORKS - DISTRICT NO. 12","","505-878-9756","","jlindeman@usw.org",2074,256,1/1/2010 0:00:00,2,1665,,"Bank of America","505-282-2726","",48212,$0.00,0,,
106,180,"International Assoc. of Iron Workers Political Education Fund",,"(505) 242-9124","","smmprecisesolutionsllc@yahoo.com",1933,156,1/1/2010 0:00:00,1,1565,,"Union Savings Bank","(505)341-5200",,83666,,,,
107,181,"International Assoc. of Iron Workers Political Action Fund","","(505) 242-9124","","smmprecisesolutionsllc@yahoo.com",1934,157,1/1/2010 0:00:00,1,1566,,"Union Saving Bank","(505)242-9124","",83528,$0.00,0,,
108,182,"Bernalillo County Democratic Party","","5055042275","","rsmith017@gmail.com",2097,257,1/1/2010 0:00:00,1,1666,,"New Mexico Bank and Trust","505-245-0940","",15012,$7723.55,0,,
109,378,"OPERATING ENGINEERS LOCAL #953 - JOURNEYMAN & APPRENTICE TRAINING TRUST FUND",,,,,1935,158,1/1/2010 0:00:00,0,1567,10/29/2008 13:41:27,"","",,,,,,
110,183,"Green Party of New Mexico","","505.226.7533","","info@greenpartyofnm.org",2118,258,1/1/2010 0:00:00,1,1667,,"Nusenda Credit Union","505-889-7755","",33556,$0.00,0,,
112,189,"Carlsbad Democratic Women","","(505) 885-3238","","vjblender@yahoo.com",1936,160,1/1/2010 0:00:00,2,1569,,"WESTERN COMMERCE BK","5758857616","",39623,$0.00,0,,
113,264,"Log Cabin Republicans of NM",,"(505) 292-2921",,,2020,259,1/1/2010 0:00:00,2,1668,10/11/2006 12:21:58,"First Community Bank","(505) 255-7700",,,,,,
114,265,"New Mexico Eye Pac","","(505) 269-5589","(505)266-8200","ahuaman@msn.com",2041,260,1/1/2010 0:00:00,2,1669,,"Wells Fargo","1-800-877-4833","505256-7565",49185,$0.00,0,,
115,190,"Democratic Governors Association - New Mexico","","(202) 772-5600","","compliance@dga.net",1972,179,1/1/2010 0:00:00,1,1588,,"Bank of America","505 282 3030","",24724,$0.00,0,,
116,266,"NM Senate Majority Leadership Fund","","(505) 865-5583","","JKLMNsan@aol.com",2076,261,1/1/2010 0:00:00,1,1670,,"US Bank","(505) 966-0400","",19476,$0.00,0,,
117,191,"Democratic Party of Los Alamos County","DPLAC","505-672-2089","","spoticus@earthlink.net",1937,161,1/1/2010 0:00:00,1,1570,,"Los Alamos National Bank  ","505-662-5171","",30621,$0.00,0,,
118,192,"Quality of Life Political Committee",,"(505) 268-1920",,"khagen@nmso.org",1938,162,1/1/2010 0:00:00,0,1571,10/10/2006 16:10:03,"First Community Bank","505-247-7500",,,,,,
119,267,"New Mexico Health Care Association PAC","NMHCA","(505) 880-1088","","rbenavidez@nmhca.org",2096,262,1/1/2010 0:00:00,1,1671,,"Bank of the West","505-881-1029","(505) 880-1157",17061,$1519.73,0,,
120,193,"Albuquerque Federated Republican Women #4601",,"(505) 463-5324",,"bob@bobcornelius.org",1940,163,1/1/2010 0:00:00,2,1572,10/9/2006 14:39:38,"Wells Fargo Bank",,,,,,,
121,379,"Conservation Voters New Mexico","","(505) 992-8683","","leanne@cvnm.org",1941,164,1/1/2010 0:00:00,0,1573,,"Community Bank Santa Fe","505-946-3525","",25551,$1347.76,1,,
122,268,"Santa Fe Area Home Builders Association",,"(505) 982-1774","","jackie@sfahba.com",1942,165,1/1/2010 0:00:00,2,1574,,"New Mexico Bank and Trust","(505) 946-2524",,49510,,,,
123,194,"Sheet Metal Workers Local Union 49","","505-266-5878","","parmstrong@smwlu49.org",1943,166,1/1/2010 0:00:00,1,1575,,"Union Savings Bank","(505) 341-5220","505-266-5879",48274,$0.00,0,,
124,195,"New Mexico Progressive Action","","(505) 243-3751","","dduhigg@aol.com",1944,167,1/1/2010 0:00:00,2,1576,,"Wells Fargo Bank","(505) 765-5118","",20599,$64.43,1,,
125,196,"CenturyLink Political Action Committee",,"505-250-4393","","Leo.Baca@CenturyLink.com",1945,168,1/1/2010 0:00:00,2,1577,,"Wells Fargo Bank, N.W. Lomas Office","(800)869-3557",,25286,,,,
126,197,"Democratic Party of Sandoval County","","505-328-1704","","dac0430@hotmail.com",2170,374,1/1/2010 0:00:00,1,1783,,"Century Bank","(505) 771-7300","",47357,$0.00,0,,
127,198,"Republican Campaign Committee of New Mexico","","(505) 298-3662","","dlundy@csiaviation.com",1975,180,1/1/2010 0:00:00,1,1589,,"Wells Fargo Bank","(505) 803-3471","",12392,$0.00,0,,
128,199,"Animal Protection Voters-Political Action Committee","","(505) 265-2322","","kelly@apnm.org",1947,169,1/1/2010 0:00:00,1,1578,,"New Mexico Bank & Trust","505-830-8100","",48662,$0.00,0,,
129,269,"Real Estate Community PAC","","(505) 842-1433","","kent@gaar.com",2026,263,1/1/2010 0:00:00,1,1672,,"Main Bank","5058801700","",39698,$0.00,0,,
130,200,"Luna County Democratic Party","","575-494-2796","","mlcameron48@gmail.com",2165,375,1/1/2010 0:00:00,1,1784,,"First Savings Bank","575-546-2702","",38470,$0.00,0,,
131,201,"Democratic Party of Valencia County","","(505) 5960657","","chair@valenciademocrats.org",2119,264,1/1/2010 0:00:00,1,1673,,"US Bank","505.865.7006","",28765,$0.00,0,,
132,202,"Valencia County Young Democrats",,"(505) 907-9597",,"bbpgabaldon@msn.com",1948,170,1/1/2010 0:00:00,2,1579,10/11/2006 12:32:21,"My Bank","(505)864-3301",,,,,,
133,203,"Democratic Party of Dona Ana County","","(575) 650-4648","","dpdacnm@gmail.com",2039,265,1/1/2010 0:00:00,1,1674,,"Century Bank","575-521-2400","",12786,$0.00,0,,
134,204,"Majority Leader Fund",,"(505) 232-2977","","dpicraux@nm.net",1989,181,1/1/2010 0:00:00,2,1590,,"Bank of the West","505-286-4041",,28340,,,,
135,205,"San Juan County Republican Party","","5053208389","","w_joerogers@yahoo.com",1992,182,1/1/2010 0:00:00,1,1591,,"Wells Fargo","505-566-7220","",46955,$0.00,0,,
136,206,"Republican Party of Sandoval County","RPSC","(505) 990-0580","","rpscounty@gmail.com",2067,266,1/1/2010 0:00:00,1,1675,,"Wells Fargo Bank N.A.","(800)225-5935","",13381,$0.00,0,,
137,207,"Republican Party of Colfax Company","","505-428-8023","","debby.welker@gmail.com",1949,171,1/1/2010 0:00:00,1,1580,,"International Bank","575-445-2321","",25005,$0.00,0,,
138,208,"Abc Political Action Committee","","(505) 830-4222","","rrivera@abcnm.org",1950,172,1/1/2010 0:00:00,1,1581,,"Compass Bank","(505)888-9020","",32469,$0.00,0,,
139,209,"Blue Cross and Blue Shield of New Mexico HCSC State Pac","","505-816-4104","","margaret_mcnett@bcbsnm.com",1968,183,1/1/2010 0:00:00,2,1592,,"Bank of the West","(505) 271-9898","",20821,$0.00,0,,
140,270,"New Mexico coalition Against Gambling",,"(505)867-2956",,,2073,267,1/1/2010 0:00:00,2,1676,10/10/2006 15:35:00,"New Mexico Bank and Trust",,,,,,,
141,210,"New Mexico Chiropractic Assoc. Pac","","505-280-0689","","nmcassociation@gmail.com",2008,184,1/1/2010 0:00:00,1,1593,,"Wells Fargo Bank","(505) 474-8926","",29395,$0.00,0,,
142,211,"Teamsters Local 492 Pac",,"(505) 344-1925","","darchuleta@teamsters492.org",1987,185,1/1/2010 0:00:00,1,1594,,"Union Savings Bank","505341-5200",,48289,$0.00,1,,
143,212,"Cablepac New Mexico",,"(505) 988-7529",,"davenport@aolcom",1952,186,1/1/2010 0:00:00,2,1595,10/7/2006 10:51:07,"Bank of America","(888)287-4637",,,,,,
144,213,"Los Alamos County Republican Central Committee",,"505-331-3686","505-672-1067","bmckerley@comcast.net",1953,187,1/1/2010 0:00:00,1,1596,,"Enterprise Bank and Trust","(505)-662-5171",,20018,,,,
145,214,"New Mexico Financial Services Association PAC","","(505) 867-0427","","christi@gachesbraden.com",2078,268,1/1/2010 0:00:00,2,1677,,"New Mexico Bank & Trust","(505) 830-8100","",24767,$960.34,1,,
146,215,"Santa Fe Federated Republican Women PAC","SFFRW","(505) 795-1109","","SantaFeFRW@gmail.com",2175,376,1/1/2010 0:00:00,1,1785,,"Century Bank","(505) 424-2888","",31666,$0.00,0,,
147,216,"AFT New Mexico Committee on Political Education","AFTNM COPE","(505) 266-6638","","lgravning@yahoo.com",2179,377,1/1/2010 0:00:00,2,1786,,"Bank of Albuquerque","505-222-8485","",16482,$5439.52,0,,
148,217,"Save Our South Valley",,"(505) 873-4904",,"patmccraw@aol.com",1959,188,1/1/2010 0:00:00,0,1597,10/9/2006 16:38:10,"NMECFCU","505-873-4904",,,,,,
149,218,"Freeport-McMoRan New Mexico Political Action Committee","","(602) 366-7812","","tashhurs@fmi.com",1955,189,1/1/2010 0:00:00,1,1598,,"Bank of America","(214) 209-1370","(602)366-7812",19775,$0.00,0,,
150,219,"Committee of Hotel & Motel Operators",,"(505) 983-4554","","abooffard@nmlodging.org",2080,269,1/1/2010 0:00:00,2,1678,,"Merrill Lynch","(505) 982-6550",,40817,,,,
151,220,"Socorro County Republican Party","","(575) 835-2832","","dntvega@gmail.com",1991,190,1/1/2010 0:00:00,1,1599,,"First State Bank","(575) 835-1550","",46025,$0.00,0,,
152,221,"New Mexico Dental Pac","","(505) 883-2777","","keigmc@aol.com",1988,191,1/1/2010 0:00:00,1,1600,,"Peoples Bank","(505) 888-3300","",48561,$0.00,0,,
153,222,"Socorro County Federated Republican Woman Pac",,"(505) 835-4437",,"crrutaa@yahoo.com",1956,192,1/1/2010 0:00:00,2,1601,10/10/2006 16:21:53,"First State Bank","505-8351550",,,,,,
154,223,"Ben Lujan Speaker Fund",,"(505) 455-3354","","carml@q.com",1960,193,1/1/2010 0:00:00,2,1602,,"Century Bank","(505)424-2888",,20792,,,,
155,224,"American Subcontractors Assn",,"(505) 220-7024","","memberservices@asa-nm.org",1971,194,1/1/2010 0:00:00,1,1603,,"Wells Fargo","1-800-225-5935",,33332,,,,
156,225,"Black Political Action Committee",,"(505) 463-5063","","mlhill777@comcast.net",2052,270,1/1/2010 0:00:00,1,1679,,"Bank of America","282-2450",,39847,$0.00,1,,
157,226,"Conservation Voters New Mexico Action Fund","CVNM PAC","(505) 992-8683","","roberto@cvnm.org",2160,378,1/1/2010 0:00:00,1,1787,,"New Mexico Bank & Trust","(505) 946.2540","(505)820-0365",19113,($62855.58),0,,
158,227,"New Mexico Pharmaceutical Assn",,"(505) 265-8729",,"datatinker@cs.com",1957,195,1/1/2010 0:00:00,0,1604,5/11/2009 9:15:21,"","",,,,,,
159,228,"Otero County Democratic Party","","(505) 437-0375","","pingeltile@yahoo.com",1958,196,1/1/2010 0:00:00,1,1605,,"First National Bank","575-437-4880","",19734,$0.00,0,,
160,229,"Republican Party of Torrance County","","505-716-9001","","oldgrouch@yahoo.com",2010,197,1/1/2010 0:00:00,1,1606,,"Wells Fargo Bank","505-384-2734","",17418,$0.00,0,,
161,230,"Republican Party of Luna County","","5755443160","","republicanpartylunacounty@gmail.com",1990,198,1/1/2010 0:00:00,1,1607,,"FIRST NEW MEXICO BANK","(575)546 2691","",48698,$0.00,0,,
162,231,"Republican Party of Otero County","RPOC","575-585-9097","","rpoc88310@gmail.com",2047,271,1/1/2010 0:00:00,1,1680,,"FIRST SAVINGS","575.443.5000","",17088,$0.00,0,,
163,232,"Mountain West Regional Council of Carpenters Pac",,"(505) 256-3396",,"ralphm@mwrcc.org",1969,199,1/1/2010 0:00:00,2,1608,10/10/2006 15:22:01,"Union Savings Bank","505-341-5200",,,,,,
164,233,"Republican Party of Eddy County","","575-706-0704","575-887-6918","ediengene@bajabb.com",2001,200,1/1/2010 0:00:00,1,1609,,"Western Commerce Bank","1-800-922-9028","",30319,$0.00,0,,
165,234,"Curry County Republican Party","","(505) 763-0658","","marge.render@actsnm.com",1961,201,1/1/2010 0:00:00,1,1610,,"Western Bank of Clovis","505-769-1975","",14730,$6528.84,0,,
